384_id,384_well,96_well,96_plate
1,A1,A1,Plate 1
2,A2,A1,Plate 2
3,A3,A2,Plate 1
4,A4,A2,Plate 2
5,A5,A3,Plate 1
6,A6,A3,Plate 2
7,A7,A4,Plate 1
8,A8,A4,Plate 2
9,A9,A5,Plate 1
10,A10,A5,Plate 2
11,A11,A6,Plate 1
12,A12,A6,Plate 2
13,A13,A7,Plate 1
14,A14,A7,Plate 2
15,A15,A8,Plate 1
16,A16,A8,Plate 2
17,A17,A9,Plate 1
18,A18,A9,Plate 2
19,A19,A10,Plate 1
20,A20,A10,Plate 2
21,A21,A11,Plate 1
22,A22,A11,Plate 2
23,A23,A12,Plate 1
24,A24,A12,Plate 2
25,B1,A1,Plate 3
26,B2,A1,Plate 4
27,B3,A2,Plate 3
28,B4,A2,Plate 4
29,B5,A3,Plate 3
30,B6,A3,Plate 4
31,B7,A4,Plate 3
32,B8,A4,Plate 4
33,B9,A5,Plate 3
34,B10,A5,Plate 4
35,B11,A6,Plate 3
36,B12,A6,Plate 4
37,B13,A7,Plate 3
38,B14,A7,Plate 4
39,B15,A8,Plate 3
40,B16,A8,Plate 4
41,B17,A9,Plate 3
42,B18,A9,Plate 4
43,B19,A10,Plate 3
44,B20,A10,Plate 4
45,B21,A11,Plate 3
46,B22,A11,Plate 4
47,B23,A12,Plate 3
48,B24,A12,Plate 4
49,C1,B1,Plate 1
50,C2,B1,Plate 2
51,C3,B2,Plate 1
52,C4,B2,Plate 2
53,C5,B3,Plate 1
54,C6,B3,Plate 2
55,C7,B4,Plate 1
56,C8,B4,Plate 2
57,C9,B5,Plate 1
58,C10,B5,Plate 2
59,C11,B6,Plate 1
60,C12,B6,Plate 2
61,C13,B7,Plate 1
62,C14,B7,Plate 2
63,C15,B8,Plate 1
64,C16,B8,Plate 2
65,C17,B9,Plate 1
66,C18,B9,Plate 2
67,C19,B10,Plate 1
68,C20,B10,Plate 2
69,C21,B11,Plate 1
70,C22,B11,Plate 2
71,C23,B12,Plate 1
72,C24,B12,Plate 2
73,D1,B1,Plate 3
74,D2,B1,Plate 4
75,D3,B2,Plate 3
76,D4,B2,Plate 4
77,D5,B3,Plate 3
78,D6,B3,Plate 4
79,D7,B4,Plate 3
80,D8,B4,Plate 4
81,D9,B5,Plate 3
82,D10,B5,Plate 4
83,D11,B6,Plate 3
