well_id,sample_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9,offset_id
A1,s0,puc19,12.0469,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
A3,s1,puc19,12.0748,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
A5,s2,puc19,12.0462,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
A7,s3,puc19,12.0679,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
A9,s4,puc19,12.0381,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
A11,s5,puc19,12.0766,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
A13,s6,puc19,12.0514,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
A15,s7,puc19,12.4429,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
A17,s8,puc19,11.6788,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778,1
A19,s9,puc19,11.6503,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,1
A21,s10,puc19,11.6719,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
A23,s11,puc19,11.6421,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
C1,s12,puc19,11.6806,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
C3,s13,puc19,11.6554,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
C5,s14,puc19,11.6781,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,1
C7,s15,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,1
C9,s16,puc19,11.6998,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
C11,s17,puc19,11.6700,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
C13,s18,puc19,11.7085,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
C15,s19,puc19,11.6833,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
C17,s20,puc19,11.6712,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
C19,s21,puc19,11.6414,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
C21,s22,puc19,11.6799,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
C23,s23,puc19,11.6547,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
E1,s24,puc19,11.6631,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
E3,s25,puc19,11.7016,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
E5,s26,puc19,11.6764,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
E7,s27,puc19,11.6718,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
E9,s28,puc19,11.6466,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
E11,s29,puc19,11.6850,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
E13,s30,puc19,11.2822,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,1
E15,s31,puc19,11.7946,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0000,m163,0.2778,m162,2.7778,1
E17,s32,puc19,11.2740,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778,1
E19,s33,puc19,11.3125,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778,1
E21,s34,puc19,11.2873,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778,1
E23,s35,puc19,11.2753,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,1
G1,s36,puc19,11.2455,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,1
G3,s37,puc19,12.4429,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
G5,s38,puc19,11.2840,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,1
G7,s39,puc19,11.2588,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,1
G9,s40,puc19,11.2671,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
G11,s41,puc19,11.3056,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
G13,s42,puc19,11.2804,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
G15,s43,puc19,11.2758,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
G17,s44,puc19,11.2506,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
G19,s45,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,1
G21,s46,puc19,11.2891,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
G23,s47,puc19,11.3031,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,1
I1,s48,puc19,11.2733,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,1
I3,s49,puc19,11.3118,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,1
I5,s50,puc19,11.2866,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,1
I7,s51,puc19,11.2950,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
I9,s52,puc19,11.3334,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
I11,s53,puc19,11.3082,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
I13,s54,puc19,11.3037,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
I15,s55,puc19,11.2785,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
I17,s56,puc19,11.3169,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
I19,s57,puc19,11.2664,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
I21,s58,puc19,11.3049,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
I23,s59,puc19,11.2797,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
K1,s60,puc19,11.2751,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
K3,s61,puc19,11.2499,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
K5,s62,puc19,11.2884,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
K7,s63,puc19,11.2968,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
K9,s64,puc19,11.2716,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
K11,s65,puc19,11.3100,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
