,,,,,,,,,1x_F,1x_G,1x_J,1x_K,1x_N,1x_V,1x_W,base_pos_1,1x_FG,1x_FJ,1x_FK,1x_FN,1x_FV,1x_FW,1x_GJ,pos_1,1x_GK,1x_GN,1x_GV,1x_GW,1x_JK,1x_JN,1x_JV,1x_JW,1x_KN,1x_KV,1x_KW,1x_NV,1x_NW,1x_VW,1x_FGJ,1x_FGK,1x_FGN,1x_FGV,1x_FGW,1x_FJK,1x_FJN,base_pos_2,1x_FJV,1x_FJW,1x_FKN,1x_FKV,1x_FKW,1x_FNV,1x_FNW,pos_2,1x_FVW,1x_GJK,1x_GJN,1x_GJV,1x_GJW,1x_GKN,1x_GKV,1x_GKW,1x_GNV,1x_GNW,1x_GVW,1x_JKN,1x_JKV,1x_JKW,1x_JNV,1x_JNW,1x_JVW,1x_KNV,1x_KNW,1x_KVW,1x_NVW,base_pos_3,del_F,del_G,del_J,del_K,del_N,del_V,del_W,pos_3,gvpA_10_chaps_2,gvpA_2_delV_1x_F,gvpA_2_delV_1x_G,gvpA_2_delV_1x_J,gvpA_2_delV_1x_K,gvpA_2_delV_1x_N,gvpA_2_delV_1x_W,gvpA_2_delV_chap_1_025x_F,gvpA_2_delV_chap_1_025x_G,gvpA_2_delV_chap_1_025x_J,gvpA_2_delV_chap_1_025x_K,gvpA_2_delV_chap_1_025x_N,gvpA_2_delV_chap_1_025x_W,chap_1_025x_F,chap_1_025x_G,chap_1_025x_J,chap_1_025x_K,chap_1_025x_N,chap_1_025x_V,chap_1_025x_W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do not touch,Plasmid,Con [ng/ul],Conc (nM),Size (bp),mw (ng/pmol),,,plamsid (ng),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,repl,total DNA combo final volume w/water (uL),plasmid concentration nM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,,,,,,,,,,,,,,,
enter your value,,,,,,,what is 1x in fmol,fmols each 1x,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,2.00,6.00,multiplier,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0667,,,,,,,,,,,,,,,,
let the formula do it's job,,,,,,,,total ng (6-well),3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,,,mass in reaction,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,200.0000,,volume (nL),total nmol transferred,total volume of stock transferred,wells needed for one replicate,number reps,total wells,~35 uL per well,,desired volume,,,stock conc,desired conc,stock vol,water to add
m162_GvpA,m162_GvpA,205.600,56.890,5560.000,3614.000,,plasmid ng in chart,m162_GvpA,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,180.70000,180.70000,180.70000,180.70000,180.70000,180.70000,180.70000,180.70000,180.70000,180.70000,180.70000,180.70000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,903.50000,,,m162_GvpA,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,2.7778,,m162_GvpA,0.0014400,25.312,3.000,4,12.000,455.000,,500,,,377.6,205.600,272.2457627,227.7542373
m163_GvpF,m163_GvpF,15.100,4.551,5105.000,3318.250,,,m163_GvpF,82.95625,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,82.95625,82.95625,82.95625,82.95625,82.95625,82.95625,20.73906,82.95625,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,82.95625,82.95625,82.95625,82.95625,82.95625,82.95625,82.95625,20.73906,82.95625,82.95625,82.95625,82.95625,82.95625,82.95625,82.95625,82.95625,82.95625,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,0.00000,82.95625,82.95625,82.95625,82.95625,82.95625,82.95625,82.95625,165.91250,82.95625,20.73906,20.73906,20.73906,20.73906,20.73906,20.73906,82.95625,82.95625,82.95625,82.95625,82.95625,20.73906,82.95625,82.95625,82.95625,82.95625,82.95625,82.95625,,,m163_GvpF,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0000,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.5556,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,,m163_GvpF,0.0000963,21.151,3.000,4,12.000,455.000,,500,,,442,15.100,17.1,482.918552
m164_GvpG ,m164_GvpG,14.700,4.765,4746.000,3084.900,,,m164_GvpG,19.28063,77.12250,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,77.12250,19.28063,19.28063,19.28063,19.28063,19.28063,77.12250,77.12250,77.12250,77.12250,77.12250,77.12250,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,77.12250,0.00000,77.12250,77.12250,77.12250,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,77.12250,19.28063,77.12250,77.12250,77.12250,77.12250,77.12250,77.12250,77.12250,77.12250,77.12250,77.12250,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,19.28063,77.12250,0.00000,77.12250,77.12250,77.12250,77.12250,77.12250,77.12250,154.24500,19.28063,77.12250,19.28063,19.28063,19.28063,19.28063,77.12250,19.28063,77.12250,77.12250,77.12250,77.12250,77.12250,19.28063,77.12250,77.12250,77.12250,77.12250,77.12250,,,m164_GvpG,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.0000,0.2778,0.2778,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.0000,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.5556,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,,m164_GvpG,0.0000946,19.849,2.000,4,8.000,315.000,,500,,,419,14.700,17.5,482.4582339
m165_GvpJ,m165_GvpJ,14.600,4.392,5114.000,3324.100,,,m165_GvpJ,20.77563,20.77563,83.10250,20.77563,20.77563,20.77563,20.77563,20.77563,20.77563,83.10250,20.77563,20.77563,20.77563,20.77563,83.10250,83.10250,20.77563,20.77563,20.77563,20.77563,83.10250,83.10250,83.10250,83.10250,20.77563,20.77563,20.77563,20.77563,20.77563,20.77563,83.10250,20.77563,20.77563,20.77563,20.77563,83.10250,83.10250,20.77563,83.10250,83.10250,20.77563,20.77563,20.77563,20.77563,20.77563,83.10250,20.77563,83.10250,83.10250,83.10250,83.10250,20.77563,20.77563,20.77563,20.77563,20.77563,20.77563,83.10250,83.10250,83.10250,83.10250,83.10250,83.10250,20.77563,20.77563,20.77563,20.77563,20.77563,83.10250,83.10250,0.00000,83.10250,83.10250,83.10250,83.10250,83.10250,166.20500,20.77563,20.77563,83.10250,20.77563,20.77563,20.77563,83.10250,83.10250,20.77563,83.10250,83.10250,83.10250,83.10250,83.10250,20.77563,83.10250,83.10250,83.10250,83.10250,,,m165_GvpJ,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.2778,0.2778,0.0694,0.0694,0.0694,0.0694,0.2778,0.2778,0.2778,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.2778,0.2778,0.0694,0.2778,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.2778,0.0000,0.2778,0.2778,0.2778,0.2778,0.2778,0.5556,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.2778,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,,m165_GvpJ,0.0000963,21.914,3.000,4,12.000,455.000,,500,,,254,14.600,28.7,471.2598425
m166_GvpK,m166_GvpK,14.900,4.741,4835.000,3142.750,,,m166_GvpK,19.64219,19.64219,19.64219,78.56875,19.64219,19.64219,19.64219,19.64219,19.64219,19.64219,78.56875,19.64219,19.64219,19.64219,19.64219,78.56875,78.56875,19.64219,19.64219,19.64219,78.56875,19.64219,19.64219,19.64219,78.56875,78.56875,78.56875,19.64219,19.64219,19.64219,19.64219,78.56875,19.64219,19.64219,19.64219,78.56875,19.64219,19.64219,19.64219,19.64219,78.56875,78.56875,78.56875,19.64219,19.64219,78.56875,19.64219,78.56875,19.64219,19.64219,19.64219,78.56875,78.56875,78.56875,19.64219,19.64219,19.64219,78.56875,78.56875,78.56875,19.64219,19.64219,19.64219,78.56875,78.56875,78.56875,19.64219,19.64219,78.56875,78.56875,78.56875,0.00000,78.56875,78.56875,78.56875,78.56875,157.13750,19.64219,19.64219,19.64219,78.56875,19.64219,19.64219,78.56875,78.56875,78.56875,19.64219,78.56875,78.56875,78.56875,78.56875,78.56875,19.64219,78.56875,78.56875,78.56875,,,m166_GvpK,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.2778,0.2778,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.2778,0.2778,0.2778,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.2778,0.2778,0.2778,0.0694,0.0694,0.2778,0.0694,0.2778,0.0694,0.0694,0.0694,0.2778,0.2778,0.2778,0.0694,0.0694,0.0694,0.2778,0.2778,0.2778,0.0694,0.0694,0.0694,0.2778,0.2778,0.2778,0.0694,0.0694,0.2778,0.2778,0.2778,0.0000,0.2778,0.2778,0.2778,0.2778,0.5556,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.2778,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,0.2778,0.2778,0.2778,,m166_GvpK,0.0000963,20.301,3.000,4,12.000,455.000,,500,,,279,14.900,26.7,473.297491
m167_GvpN ,m167_GvpN,15.100,4.451,5219.000,3392.350,,,m167_GvpN,21.20219,21.20219,21.20219,21.20219,84.80875,21.20219,21.20219,21.20219,21.20219,21.20219,21.20219,84.80875,21.20219,21.20219,21.20219,84.80875,21.20219,84.80875,21.20219,21.20219,21.20219,84.80875,21.20219,21.20219,84.80875,21.20219,21.20219,84.80875,84.80875,21.20219,21.20219,21.20219,84.80875,21.20219,21.20219,21.20219,84.80875,21.20219,21.20219,21.20219,84.80875,21.20219,21.20219,84.80875,84.80875,84.80875,21.20219,21.20219,84.80875,21.20219,21.20219,84.80875,21.20219,21.20219,84.80875,84.80875,21.20219,84.80875,21.20219,21.20219,84.80875,84.80875,21.20219,84.80875,84.80875,21.20219,84.80875,21.20219,84.80875,84.80875,84.80875,84.80875,0.00000,84.80875,84.80875,84.80875,169.61750,21.20219,21.20219,21.20219,21.20219,84.80875,21.20219,84.80875,84.80875,84.80875,84.80875,21.20219,84.80875,84.80875,84.80875,84.80875,84.80875,21.20219,84.80875,84.80875,,,m167_GvpN,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.2778,0.0694,0.2778,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.2778,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.2778,0.2778,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.2778,0.0694,0.2778,0.0694,0.0694,0.2778,0.2778,0.0694,0.2778,0.2778,0.0694,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.0000,0.2778,0.2778,0.2778,0.5556,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,0.2778,0.2778,,m167_GvpN,0.0000963,21.623,3.000,4,12.000,455.000,,500,,,322,15.100,23.4,476.552795
m168_GvpV,m168_GvpV,14.700,4.788,4723.000,3069.950,,,m168_GvpV,19.18719,19.18719,19.18719,19.18719,19.18719,76.74875,19.18719,19.18719,19.18719,19.18719,19.18719,19.18719,76.74875,19.18719,19.18719,76.74875,19.18719,19.18719,76.74875,19.18719,19.18719,19.18719,76.74875,19.18719,19.18719,76.74875,19.18719,76.74875,19.18719,76.74875,19.18719,19.18719,19.18719,76.74875,19.18719,19.18719,19.18719,19.18719,76.74875,19.18719,19.18719,76.74875,19.18719,76.74875,19.18719,76.74875,76.74875,19.18719,19.18719,76.74875,19.18719,19.18719,76.74875,19.18719,76.74875,19.18719,76.74875,19.18719,76.74875,19.18719,76.74875,19.18719,76.74875,76.74875,19.18719,76.74875,76.74875,19.18719,76.74875,76.74875,76.74875,76.74875,76.74875,0.00000,76.74875,76.74875,153.49750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,76.74875,76.74875,76.74875,76.74875,76.74875,19.18719,76.74875,,,m168_GvpV,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.0694,0.2778,0.0694,0.2778,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.0694,0.2778,0.0694,0.2778,0.2778,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.0694,0.2778,0.0694,0.2778,0.0694,0.2778,0.0694,0.2778,0.0694,0.2778,0.2778,0.0694,0.2778,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.0000,0.2778,0.2778,0.5556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,0.2778,,m168_GvpV,0.0000838,17.490,2.000,4,8.000,315.000,,500,,,344,14.700,21.4,478.6337209
