Location,Name,Concentration,Length,Units
B2,m162,56.89,0,nM
B4,m162,56.89,0,nM
B6,m162,56.89,0,nM
B8,m162,56.89,0,nM
B10,m162,56.89,0,nM
B12,m162,56.89,0,nM
B14,m162,56.89,0,nM
B16,m162,56.89,0,nM
B18,m162,56.89,0,nM
D2,m163,4.551,0,nM
D4,m163,4.551,0,nM
D6,m163,4.551,0,nM
D8,m163,4.551,0,nM
D10,m163,4.551,0,nM
D12,m163,4.551,0,nM
D14,m163,4.551,0,nM
F2,m164,4.765,0,nM
F4,m164,4.765,0,nM
F6,m164,4.765,0,nM
F8,m164,4.765,0,nM
F10,m164,4.765,0,nM
F12,m164,4.765,0,nM
F14,m164,4.765,0,nM
H2,m165,4.392,0,nM
H4,m165,4.392,0,nM
H6,m165,4.392,0,nM
H8,m165,4.392,0,nM
H10,m165,4.392,0,nM
H12,m165,4.392,0,nM
H14,m165,4.392,0,nM
H16,m165,4.392,0,nM
J2,m166,4.741,0,nM
J4,m166,4.741,0,nM
J6,m166,4.741,0,nM
J8,m166,4.741,0,nM
J10,m166,4.741,0,nM
J12,m166,4.741,0,nM
J14,m166,4.741,0,nM
L2,m167,4.451,0,nM
L4,m167,4.451,0,nM
L6,m167,4.451,0,nM
L8,m167,4.451,0,nM
L10,m167,4.451,0,nM
L12,m167,4.451,0,nM
L14,m167,4.451,0,nM
N2,m168,4.788,0,nM
N4,m168,4.788,0,nM
N6,m168,4.788,0,nM
N8,m168,4.788,0,nM
N10,m168,4.788,0,nM
N12,m168,4.788,0,nM
N14,m168,4.788,0,nM
P2,m169,4.419,0,nM
P4,m169,4.419,0,nM
P6,m169,4.419,0,nM
P8,m169,4.419,0,nM
P10,m169,4.419,0,nM
P12,m169,4.419,0,nM
P14,m169,4.419,0,nM
P16,m169,4.419,0,nM
A22,puc19,58.251,0,nM
A23,puc19,58.251,0,nM
A24,puc19,58.251,0,nM
B22,puc19,58.251,0,nM
B23,puc19,58.251,0,nM
B24,puc19,58.251,0,nM
C22,puc19,58.251,0,nM
C23,puc19,58.251,0,nM
C24,puc19,58.251,0,nM
D22,puc19,58.251,0,nM
D23,puc19,58.251,0,nM
D24,puc19,58.251,0,nM
E22,puc19,58.251,0,nM
E23,puc19,58.251,0,nM
E24,puc19,58.251,0,nM
F22,puc19,58.251,0,nM
F23,puc19,58.251,0,nM
F24,puc19,58.251,0,nM
G22,puc19,58.251,0,nM
G23,puc19,58.251,0,nM
G24,puc19,58.251,0,nM
H22,puc19,58.251,0,nM
H23,puc19,58.251,0,nM
H24,puc19,58.251,0,nM
I22,puc19,58.251,0,nM
I23,puc19,58.251,0,nM
I24,puc19,58.251,0,nM
J22,puc19,58.251,0,nM
J23,puc19,58.251,0,nM
J24,puc19,58.251,0,nM
K22,puc19,58.251,0,nM
K23,puc19,58.251,0,nM
K24,puc19,58.251,0,nM
L22,puc19,58.251,0,nM
L23,puc19,58.251,0,nM
L24,puc19,58.251,0,nM
M22,puc19,58.251,0,nM
M23,puc19,58.251,0,nM
M24,puc19,58.251,0,nM
A1,water,1,0,x
B1,water,1,0,x
C1,water,1,0,x
D1,water,1,0,x
E1,water,1,0,x
F1,water,1,0,x
G1,water,1,0,x
H1,water,1,0,x
I1,water,1,0,x
J1,water,1,0,x
K1,water,1,0,x
L1,water,1,0,x
M1,water,1,0,x
N1,water,1,0,x
O1,water,1,0,x
P1,water,1,0,x
A3,water,1,0,x
B3,water,1,0,x
C3,water,1,0,x
D3,water,1,0,x
E3,water,1,0,x
F3,water,1,0,x
G3,water,1,0,x
H3,water,1,0,x
I3,water,1,0,x
J3,water,1,0,x
K3,water,1,0,x
L3,water,1,0,x
M3,water,1,0,x
N3,water,1,0,x
O3,water,1,0,x
P3,water,1,0,x
A5,water,1,0,x
B5,water,1,0,x
C5,water,1,0,x
D5,water,1,0,x
E5,water,1,0,x
F5,water,1,0,x
G5,water,1,0,x
H5,water,1,0,x
I5,water,1,0,x
J5,water,1,0,x
K5,water,1,0,x
L5,water,1,0,x
M5,water,1,0,x
N5,water,1,0,x
O5,water,1,0,x
P5,water,1,0,x
A7,water,1,0,x
B7,water,1,0,x
C7,water,1,0,x
D7,water,1,0,x
E7,water,1,0,x
F7,water,1,0,x
G7,water,1,0,x
H7,water,1,0,x
I7,water,1,0,x
J7,water,1,0,x
K7,water,1,0,x
L7,water,1,0,x
M7,water,1,0,x
N7,water,1,0,x
O7,water,1,0,x
P7,water,1,0,x
A9,water,1,0,x
B9,water,1,0,x
C9,water,1,0,x
D9,water,1,0,x
E9,water,1,0,x
F9,water,1,0,x
G9,water,1,0,x
H9,water,1,0,x
I9,water,1,0,x
J9,water,1,0,x
K9,water,1,0,x
L9,water,1,0,x
M9,water,1,0,x
N9,water,1,0,x
O9,water,1,0,x
P9,water,1,0,x
A11,water,1,0,x
B11,water,1,0,x
C11,water,1,0,x
D11,water,1,0,x
E11,water,1,0,x
F11,water,1,0,x
G11,water,1,0,x
H11,water,1,0,x
I11,water,1,0,x
J11,water,1,0,x
K11,water,1,0,x
L11,water,1,0,x
M11,water,1,0,x
N11,water,1,0,x
O11,water,1,0,x
P11,water,1,0,x
A13,water,1,0,x
