Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,A1,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,A3,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,A5,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,A7,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,A9,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,A11,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,A13,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,A15,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,A17,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,A19,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,A21,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,A23,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,C1,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,C3,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,C5,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,C7,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,C9,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,C11,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,C13,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,C15,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,C17,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,C19,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,C21,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,C23,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,E1,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,E3,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,E5,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,E7,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,E9,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,E11,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,E13,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,E15,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,E17,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,E19,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,E21,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,E23,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,G1,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,G3,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,G5,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B2,m162,Axygen 384,G7,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,G9,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,G11,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,G13,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,G15,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,G17,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,G19,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,G21,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,G23,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,I1,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,I3,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,I5,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,I7,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,I9,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,I11,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,I13,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,I15,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,I17,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,I19,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,I21,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,I23,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,K1,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,K3,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,K5,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,K7,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,K9,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,K11,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,K13,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,K15,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,K17,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,K19,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,K21,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,K23,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,M1,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,M3,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,M5,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,M7,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,M9,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,M11,50,Actual concentration: 0.57
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,M13,50,Actual concentration: 0.57
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,M15,50,Actual concentration: 0.57
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,M17,50,Actual concentration: 0.57
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,M19,50,Actual concentration: 0.57
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,M21,50,Actual concentration: 0.57
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,M23,50,Actual concentration: 0.57
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,O1,50,Actual concentration: 0.57
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,O3,50,Actual concentration: 0.57
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,O5,50,Actual concentration: 0.57
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,O7,50,Actual concentration: 0.57
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,O9,50,Actual concentration: 0.57
384_source_c1,384PP_AQ_BP,B4,m162,Axygen 384,O11,150,Actual concentration: 1.71
384_source_c1,384PP_AQ_BP,B6,m162,Axygen 384,O11,100,Actual concentration: 1.14
384_source_c1,384PP_AQ_BP,B6,m162,Axygen 384,O13,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B6,m162,Axygen 384,O15,250,Actual concentration: 2.84
384_source_c1,384PP_AQ_BP,B6,m162,Axygen 384,O17,250,Actual concentration: 2.84
