Location,Name,Concentration,Length,Units
A1,water,1.0,0,x
A2,water,1.0,0,x
A3,water,1.0,0,x
A4,water,1.0,0,x
A5,water,1.0,0,x
A6,water,1.0,0,x
A7,water,1.0,0,x
A8,water,1.0,0,x
A9,water,1.0,0,x
A10,water,1.0,0,x
A11,water,1.0,0,x
A12,water,1.0,0,x
A13,water,1.0,0,x
A14,water,1.0,0,x
A15,water,1.0,0,x
A16,water,1.0,0,x
A17,water,1.0,0,x
A18,water,1.0,0,x
A19,water,1.0,0,x
A20,water,1.0,0,x
A21,water,1.0,0,x
A22,water,1.0,0,x
A23,water,1.0,0,x
A24,water,1.0,0,x
B1,water,1.0,0,x
B2,m567_GvpA,35.47,0,nM
B3,m567_GvpA,35.47,0,nM
B4,m567_GvpA,35.47,0,nM
B5,m567_GvpA,35.47,0,nM
B6,m163_GvpF_50fmol,16.32,0,nM
B7,water,1.0,0,x
B8,m164_GvpG_50fmol,17.43,0,nM
B9,water,1.0,0,x
B10,m165_GvpJ_50fmol,16.27,0,nM
B11,water,1.0,0,x
B12,m166_GvpK_50fmol,17.08,0,nM
B13,water,1.0,0,x
B14,m167_GvpN_50fmol,15.33,0,nM
B15,water,1.0,0,x
B16,m168_GvpV_50fmol,17.88,0,nM
B17,water,1.0,0,x
B18,m169_GvpW_50fmol,16.23,0,nM
B19,puc19,59.05,0,nM
B20,puc19,59.05,0,nM
B21,water,1.0,0,x
B22,water,1.0,0,x
B23,water,1.0,0,x
B24,water,1.0,0,x
C1,water,1.0,0,x
C2,m567_GvpA,35.47,0,nM
C3,m567_GvpA,35.47,0,nM
C4,m567_GvpA,35.47,0,nM
C5,m567_GvpA,35.47,0,nM
C6,m163_GvpF_50fmol,16.32,0,nM
C7,water,1.0,0,x
C8,m164_GvpG_50fmol,17.43,0,nM
C9,water,1.0,0,x
C10,m165_GvpJ_50fmol,16.27,0,nM
C11,water,1.0,0,x
C12,m166_GvpK_50fmol,17.08,0,nM
C13,water,1.0,0,x
C14,m167_GvpN_50fmol,15.33,0,nM
C15,water,1.0,0,x
C16,m168_GvpV_50fmol,17.88,0,nM
C17,water,1.0,0,x
C18,m169_GvpW_50fmol,16.23,0,nM
C19,puc19,59.05,0,nM
C20,puc19,59.05,0,nM
C21,water,1.0,0,x
C22,water,1.0,0,x
C23,water,1.0,0,x
C24,water,1.0,0,x
D1,water,1.0,0,x
D2,m567_GvpA,35.47,0,nM
D3,m567_GvpA,35.47,0,nM
D4,m567_GvpA,35.47,0,nM
D5,m567_GvpA,35.47,0,nM
D6,m163_GvpF_50fmol,16.32,0,nM
D7,water,1.0,0,x
D8,m164_GvpG_50fmol,17.43,0,nM
D9,water,1.0,0,x
D10,m165_GvpJ_50fmol,16.27,0,nM
