384_id,384_well,96_well,96_plate
269,L5,F3,Plate 3
251,K11,F6,Plate 1
356,O20,H10,Plate 2
333,N21,G11,Plate 3
57,C9,B5,Plate 1
373,P13,H7,Plate 3
34,B10,A5,Plate 4
115,E19,C10,Plate 1
376,P16,H8,Plate 4
239,J23,E12,Plate 3
246,K6,F3,Plate 2
119,E23,C12,Plate 1
196,I4,E2,Plate 2
262,K22,F11,Plate 2
111,E15,C8,Plate 1
176,H8,D4,Plate 4
153,G9,D5,Plate 1
361,P1,H1,Plate 3
368,P8,H4,Plate 4
248,K8,F4,Plate 2
43,B19,A10,Plate 3
40,B16,A8,Plate 4
10,A10,A5,Plate 2
94,D22,B11,Plate 4
16,A16,A8,Plate 2
56,C8,B4,Plate 2
146,G2,D1,Plate 2
357,O21,H11,Plate 1
1,A1,A1,Plate 1
301,M13,G7,Plate 1
109,E13,C7,Plate 1
26,B2,A1,Plate 4
326,N14,G7,Plate 4
79,D7,B4,Plate 3
138,F18,C9,Plate 4
328,N16,G8,Plate 4
182,H14,D7,Plate 4
47,B23,A12,Plate 3
347,O11,H6,Plate 1
297,M9,G5,Plate 1
83,D11,B6,Plate 3
114,E18,C9,Plate 2
117,E21,C11,Plate 1
159,G15,D8,Plate 1
140,F20,C10,Plate 4
23,A23,A12,Plate 1
32,B8,A4,Plate 4
78,D6,B3,Plate 4
91,D19,B10,Plate 3
58,C10,B5,Plate 2
31,B7,A4,Plate 3
73,D1,B1,Plate 3
317,N5,G3,Plate 3
199,I7,E4,Plate 1
127,F7,C4,Plate 3
284,L20,F10,Plate 4
211,I19,E10,Plate 1
74,D2,B1,Plate 4
6,A6,A3,Plate 2
177,H9,D5,Plate 3
46,B22,A11,Plate 4
250,K10,F5,Plate 2
77,D5,B3,Plate 3
263,K23,F12,Plate 1
232,J16,E8,Plate 4
226,J10,E5,Plate 4
355,O19,H10,Plate 1
125,F5,C3,Plate 3
381,P21,H11,Plate 3
4,A4,A2,Plate 2
19,A19,A10,Plate 1
142,F22,C11,Plate 4
105,E9,C5,Plate 1
168,G24,D12,Plate 2
64,C16,B8,Plate 2
234,J18,E9,Plate 4
85,D13,B7,Plate 3
166,G22,D11,Plate 2
323,N11,G6,Plate 3
221,J5,E3,Plate 3
95,D23,B12,Plate 3
233,J17,E9,Plate 3
343,O7,H4,Plate 1
219,J3,E2,Plate 3
230,J14,E7,Plate 4
359,O23,H12,Plate 1
346,O10,H5,Plate 2
225,J9,E5,Plate 3
