m167_GvpN,m165_GvpJ,m166_GvpK,m163_GvpF,m164_GvpG,m168_GvpV,m169_GvpW,avg_chap_ratio,m567_GvpA,fmol_1x,combo_name,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9,neg_flag,fmol_A,fmol_avg_chap,A_chap_ratio,well_id,Plate
0.25,0.25,0.25,2.0,0.25,0.25,0.25,0.5,12,50,50fmol_12xA_0.25xN_0.25xJ_0.25xK_2xF_0.25xG_0.25xV_0.25xW_,m167_GvpN_50fmol,0.20833333333333334,m165_GvpJ_50fmol,0.20833333333333334,m166_GvpK_50fmol,0.20833333333333334,m163_GvpF_50fmol,1.6666666666666667,m164_GvpG_50fmol,0.20833333333333334,m168_GvpV_50fmol,0.20833333333333334,m169_GvpW_50fmol,0.20833333333333334,m567_GvpA,10.0,puc19,6.101914962674458,0,600,25.0,24.0,A1,Plate 1
0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.35714285714285715,12,50,50fmol_12xA_0.25xN_0.25xJ_0.25xK_0.25xF_1xG_0.25xV_0.25xW_,m167_GvpN_50fmol,0.20833333333333334,m165_GvpJ_50fmol,0.20833333333333334,m166_GvpK_50fmol,0.20833333333333334,m163_GvpF_50fmol,0.20833333333333334,m164_GvpG_50fmol,0.8333333333333334,m168_GvpV_50fmol,0.20833333333333334,m169_GvpW_50fmol,0.20833333333333334,m567_GvpA,10.0,puc19,7.770210445424521,0,600,17.857142857142858,33.6,A3,Plate 1
0.25,0.25,1.0,0.25,0.25,0.25,0.25,0.35714285714285715,12,50,50fmol_12xA_0.25xN_0.25xJ_1xK_0.25xF_0.25xG_0.25xV_0.25xW_,m167_GvpN_50fmol,0.20833333333333334,m165_GvpJ_50fmol,0.20833333333333334,m166_GvpK_50fmol,0.8333333333333334,m163_GvpF_50fmol,0.20833333333333334,m164_GvpG_50fmol,0.20833333333333334,m168_GvpV_50fmol,0.20833333333333334,m169_GvpW_50fmol,0.20833333333333334,m567_GvpA,10.0,puc19,7.749501212364206,0,600,17.857142857142858,33.6,A5,Plate 1
0.25,0.25,1.0,0.25,0.25,0.25,0.25,0.35714285714285715,12,50,50fmol_12xA_0.25xN_0.25xJ_1xK_0.25xF_0.25xG_0.25xV_0.25xW_,m167_GvpN_50fmol,0.20833333333333334,m165_GvpJ_50fmol,0.20833333333333334,m166_GvpK_50fmol,0.8333333333333334,m163_GvpF_50fmol,0.20833333333333334,m164_GvpG_50fmol,0.20833333333333334,m168_GvpV_50fmol,0.20833333333333334,m169_GvpW_50fmol,0.20833333333333334,m567_GvpA,10.0,puc19,7.749501212364206,0,600,17.857142857142858,33.6,A7,Plate 1
0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.35714285714285715,12,50,50fmol_12xA_0.25xN_0.25xJ_0.25xK_0.25xF_0.25xG_0.25xV_1xW_,m167_GvpN_50fmol,0.20833333333333334,m165_GvpJ_50fmol,0.20833333333333334,m166_GvpK_50fmol,0.20833333333333334,m163_GvpF_50fmol,0.20833333333333334,m164_GvpG_50fmol,0.20833333333333334,m168_GvpV_50fmol,0.20833333333333334,m169_GvpW_50fmol,0.8333333333333334,m567_GvpA,10.0,puc19,7.699938665826603,0,600,17.857142857142858,33.6,A9,Plate 1
0.25,0.25,0.25,0.25,1.0,0.25,1.0,0.4642857142857143,12,50,50fmol_12xA_0.25xN_0.25xJ_0.25xK_0.25xF_1xG_0.25xV_1xW_,m167_GvpN_50fmol,0.20833333333333334,m165_GvpJ_50fmol,0.20833333333333334,m166_GvpK_50fmol,0.20833333333333334,m163_GvpF_50fmol,0.20833333333333334,m164_GvpG_50fmol,0.8333333333333334,m168_GvpV_50fmol,0.20833333333333334,m169_GvpW_50fmol,0.8333333333333334,m567_GvpA,10.0,puc19,6.594903297248795,0,600,23.214285714285715,25.846153846153847,A11,Plate 1
0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.35714285714285715,12,50,50fmol_12xA_0.25xN_0.25xJ_0.25xK_1xF_0.25xG_0.25xV_0.25xW_,m167_GvpN_50fmol,0.20833333333333334,m165_GvpJ_50fmol,0.20833333333333334,m166_GvpK_50fmol,0.20833333333333334,m163_GvpF_50fmol,0.8333333333333334,m164_GvpG_50fmol,0.20833333333333334,m168_GvpV_50fmol,0.20833333333333334,m169_GvpW_50fmol,0.20833333333333334,m567_GvpA,10.0,puc19,7.686675449147526,0,600,17.857142857142858,33.6,A13,Plate 1
0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.35714285714285715,12,50,50fmol_12xA_0.25xN_0.25xJ_0.25xK_1xF_0.25xG_0.25xV_0.25xW_,m167_GvpN_50fmol,0.20833333333333334,m165_GvpJ_50fmol,0.20833333333333334,m166_GvpK_50fmol,0.20833333333333334,m163_GvpF_50fmol,0.8333333333333334,m164_GvpG_50fmol,0.20833333333333334,m168_GvpV_50fmol,0.20833333333333334,m169_GvpW_50fmol,0.20833333333333334,m567_GvpA,10.0,puc19,7.686675449147526,0,600,17.857142857142858,33.6,A15,Plate 1
0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.35714285714285715,12,50,50fmol_12xA_0.25xN_0.25xJ_0.25xK_0.25xF_0.25xG_1xV_0.25xW_,m167_GvpN_50fmol,0.20833333333333334,m165_GvpJ_50fmol,0.20833333333333334,m166_GvpK_50fmol,0.20833333333333334,m163_GvpF_50fmol,0.20833333333333334,m164_GvpG_50fmol,0.20833333333333334,m168_GvpV_50fmol,0.8333333333333334,m169_GvpW_50fmol,0.20833333333333334,m567_GvpA,10.0,puc19,7.776260333734275,0,600,17.857142857142858,33.6,A17,Plate 1
0.25,0.25,0.25,1.0,0.25,0.25,1.0,0.4642857142857143,12,50,50fmol_12xA_0.25xN_0.25xJ_0.25xK_1xF_0.25xG_0.25xV_1xW_,m167_GvpN_50fmol,0.20833333333333334,m165_GvpJ_50fmol,0.20833333333333334,m166_GvpK_50fmol,0.20833333333333334,m163_GvpF_50fmol,0.8333333333333334,m164_GvpG_50fmol,0.20833333333333334,m168_GvpV_50fmol,0.20833333333333334,m169_GvpW_50fmol,0.8333333333333334,m567_GvpA,10.0,puc19,6.511368300971805,0,600,23.214285714285715,25.846153846153847,A19,Plate 1
