well,name,concentration,volume,date
A1,water,1.0,21000,12/11/2025
A2,water,1.0,21000,12/11/2025
A3,water,1.0,21000,12/11/2025
A4,water,1.0,21000,12/11/2025
A5,water,1.0,21000,12/11/2025
A6,water,1.0,21000,12/11/2025
A7,water,1.0,21000,12/11/2025
A8,water,1.0,21000,12/11/2025
A9,water,1.0,21000,12/11/2025
A10,water,1.0,21000,12/11/2025
A11,water,1.0,21000,12/11/2025
A12,water,1.0,21000,12/11/2025
A13,water,1.0,21000,12/11/2025
A14,water,1.0,21000,12/11/2025
A15,water,1.0,21000,12/11/2025
A16,water,1.0,21000,12/11/2025
A17,water,1.0,21000,12/11/2025
A18,water,1.0,21000,12/11/2025
A19,water,1.0,21000,12/11/2025
A20,water,1.0,21000,12/11/2025
A21,water,1.0,21000,12/11/2025
A22,water,1.0,21000,12/11/2025
A23,water,1.0,21000,12/11/2025
A24,water,1.0,21000,12/11/2025
B1,water,1.0,21000,12/11/2025
B2,m567_GvpA,35.47,21000,12/11/2025
B3,m567_GvpA,35.47,21000,12/11/2025
B4,m567_GvpA,35.47,21000,12/11/2025
B5,m567_GvpA,35.47,21000,12/11/2025
B6,m163_GvpF_50fmol,16.32,21000,12/11/2025
B7,water,1.0,21000,12/11/2025
B8,m164_GvpG_50fmol,17.43,21000,12/11/2025
B9,water,1.0,21000,12/11/2025
B10,m165_GvpJ_50fmol,16.27,21000,12/11/2025
B11,water,1.0,21000,12/11/2025
B12,m166_GvpK_50fmol,17.08,21000,12/11/2025
B13,water,1.0,21000,12/11/2025
B14,m167_GvpN_50fmol,15.33,21000,12/11/2025
B15,water,1.0,21000,12/11/2025
B16,m168_GvpV_50fmol,17.88,21000,12/11/2025
B17,water,1.0,21000,12/11/2025
B18,m169_GvpW_50fmol,16.23,21000,12/11/2025
B19,puc19,59.05,21000,12/11/2025
B20,puc19,59.05,21000,12/11/2025
B21,water,1.0,21000,12/11/2025
B22,water,1.0,21000,12/11/2025
B23,water,1.0,21000,12/11/2025
B24,water,1.0,21000,12/11/2025
C1,water,1.0,21000,12/11/2025
C2,m567_GvpA,35.47,21000,12/11/2025
C3,m567_GvpA,35.47,21000,12/11/2025
C4,m567_GvpA,35.47,21000,12/11/2025
C5,m567_GvpA,35.47,21000,12/11/2025
C6,m163_GvpF_50fmol,16.32,21000,12/11/2025
C7,water,1.0,21000,12/11/2025
C8,m164_GvpG_50fmol,17.43,21000,12/11/2025
C9,water,1.0,21000,12/11/2025
C10,m165_GvpJ_50fmol,16.27,21000,12/11/2025
C11,water,1.0,21000,12/11/2025
C12,m166_GvpK_50fmol,17.08,21000,12/11/2025
C13,water,1.0,21000,12/11/2025
C14,m167_GvpN_50fmol,15.33,21000,12/11/2025
C15,water,1.0,21000,12/11/2025
C16,m168_GvpV_50fmol,17.88,21000,12/11/2025
C17,water,1.0,21000,12/11/2025
C18,m169_GvpW_50fmol,16.23,21000,12/11/2025
C19,puc19,59.05,21000,12/11/2025
C20,puc19,59.05,21000,12/11/2025
C21,water,1.0,21000,12/11/2025
C22,water,1.0,21000,12/11/2025
C23,water,1.0,21000,12/11/2025
C24,water,1.0,21000,12/11/2025
D1,water,1.0,21000,12/11/2025
D2,m567_GvpA,35.47,21000,12/11/2025
D3,m567_GvpA,35.47,21000,12/11/2025
D4,m567_GvpA,35.47,21000,12/11/2025
D5,m567_GvpA,35.47,21000,12/11/2025
D6,m163_GvpF_50fmol,16.32,21000,12/11/2025
D7,water,1.0,21000,12/11/2025
D8,m164_GvpG_50fmol,17.43,21000,12/11/2025
D9,water,1.0,21000,12/11/2025
D10,m165_GvpJ_50fmol,16.27,21000,12/11/2025
D11,water,1.0,21000,12/11/2025
D12,m166_GvpK_50fmol,17.08,21000,12/11/2025
D13,water,1.0,21000,12/11/2025
D14,m167_GvpN_50fmol,15.33,21000,12/11/2025
D15,water,1.0,21000,12/11/2025
D16,m168_GvpV_50fmol,17.88,21000,12/11/2025
D17,water,1.0,21000,12/11/2025
D18,m169_GvpW_50fmol,16.23,21000,12/11/2025
D19,puc19,59.05,21000,12/11/2025
D20,water,1.0,21000,12/11/2025
D21,water,1.0,21000,12/11/2025
D22,water,1.0,21000,12/11/2025
D23,water,1.0,21000,12/11/2025
D24,water,1.0,21000,12/11/2025
E1,water,1.0,21000,12/11/2025
E2,m567_GvpA,35.47,21000,12/11/2025
