Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
384_source_c1,384PP_Plus_AQ_BP,A1,water,Axygen 384,A1,1750,
384_source_c1,384PP_Plus_AQ_BP,A1,water,Axygen 384,A3,1850,
384_source_c1,384PP_Plus_AQ_BP,A1,water,Axygen 384,A5,1850,
384_source_c1,384PP_Plus_AQ_BP,A1,water,Axygen 384,A7,1850,
384_source_c1,384PP_Plus_AQ_BP,A1,water,Axygen 384,A9,1850,
384_source_c1,384PP_Plus_AQ_BP,A1,water,Axygen 384,A11,850,
384_source_c1,384PP_Plus_AQ_BP,A2,water,Axygen 384,A11,925,
384_source_c1,384PP_Plus_AQ_BP,A2,water,Axygen 384,A13,1850,
384_source_c1,384PP_Plus_AQ_BP,A2,water,Axygen 384,A15,1850,
384_source_c1,384PP_Plus_AQ_BP,A2,water,Axygen 384,A17,1875,
384_source_c1,384PP_Plus_AQ_BP,A2,water,Axygen 384,A19,1775,
384_source_c1,384PP_Plus_AQ_BP,A2,water,Axygen 384,A21,1725,
384_source_c1,384PP_Plus_AQ_BP,A3,water,Axygen 384,A23,1725,
384_source_c1,384PP_Plus_AQ_BP,A3,water,Axygen 384,C1,1800,
384_source_c1,384PP_Plus_AQ_BP,A3,water,Axygen 384,C3,1775,
384_source_c1,384PP_Plus_AQ_BP,A3,water,Axygen 384,C5,1800,
384_source_c1,384PP_Plus_AQ_BP,A3,water,Axygen 384,C7,1750,
384_source_c1,384PP_Plus_AQ_BP,A3,water,Axygen 384,C9,1150,
384_source_c1,384PP_Plus_AQ_BP,A4,water,Axygen 384,C9,625,
384_source_c1,384PP_Plus_AQ_BP,A4,water,Axygen 384,C11,1800,
384_source_c1,384PP_Plus_AQ_BP,A4,water,Axygen 384,C13,1775,
384_source_c1,384PP_Plus_AQ_BP,A4,water,Axygen 384,C15,1725,
384_source_c1,384PP_Plus_AQ_BP,A4,water,Axygen 384,C17,1800,
384_source_c1,384PP_Plus_AQ_BP,A4,water,Axygen 384,C19,1775,
384_source_c1,384PP_Plus_AQ_BP,A4,water,Axygen 384,C21,500,
384_source_c1,384PP_Plus_AQ_BP,A5,water,Axygen 384,C21,1275,
384_source_c1,384PP_Plus_AQ_BP,A5,water,Axygen 384,C23,1800,
384_source_c1,384PP_Plus_AQ_BP,A5,water,Axygen 384,E1,1725,
384_source_c1,384PP_Plus_AQ_BP,A5,water,Axygen 384,E3,1875,
384_source_c1,384PP_Plus_AQ_BP,A5,water,Axygen 384,E5,1775,
384_source_c1,384PP_Plus_AQ_BP,A5,water,Axygen 384,E7,1550,
384_source_c1,384PP_Plus_AQ_BP,A6,water,Axygen 384,E7,250,
384_source_c1,384PP_Plus_AQ_BP,A6,water,Axygen 384,E9,1800,
384_source_c1,384PP_Plus_AQ_BP,A6,water,Axygen 384,E11,1725,
384_source_c1,384PP_Plus_AQ_BP,A6,water,Axygen 384,E13,1875,
384_source_c1,384PP_Plus_AQ_BP,A6,water,Axygen 384,E17,1925,
384_source_c1,384PP_Plus_AQ_BP,A6,water,Axygen 384,E19,1750,
384_source_c1,384PP_Plus_AQ_BP,A6,water,Axygen 384,E21,675,
384_source_c1,384PP_Plus_AQ_BP,A7,water,Axygen 384,E21,750,
384_source_c1,384PP_Plus_AQ_BP,A7,water,Axygen 384,E23,1750,
384_source_c1,384PP_Plus_AQ_BP,A7,water,Axygen 384,G1,1725,
384_source_c1,384PP_Plus_AQ_BP,A7,water,Axygen 384,G3,1775,
384_source_c1,384PP_Plus_AQ_BP,A7,water,Axygen 384,G5,1775,
384_source_c1,384PP_Plus_AQ_BP,A7,water,Axygen 384,G7,1725,
384_source_c1,384PP_Plus_AQ_BP,A7,water,Axygen 384,G9,500,
384_source_c1,384PP_Plus_AQ_BP,A8,water,Axygen 384,G9,1250,
384_source_c1,384PP_Plus_AQ_BP,A8,water,Axygen 384,G11,1725,
384_source_c1,384PP_Plus_AQ_BP,A8,water,Axygen 384,G13,1775,
384_source_c1,384PP_Plus_AQ_BP,A8,water,Axygen 384,G15,1775,
384_source_c1,384PP_Plus_AQ_BP,A8,water,Axygen 384,G17,1775,
384_source_c1,384PP_Plus_AQ_BP,A8,water,Axygen 384,G19,1700,
384_source_c1,384PP_Plus_AQ_BP,A9,water,Axygen 384,G19,75,
384_source_c1,384PP_Plus_AQ_BP,A9,water,Axygen 384,G21,1750,
384_source_c1,384PP_Plus_AQ_BP,A9,water,Axygen 384,G23,1800,
384_source_c1,384PP_Plus_AQ_BP,A9,water,Axygen 384,I1,1775,
384_source_c1,384PP_Plus_AQ_BP,A9,water,Axygen 384,I3,1850,
384_source_c1,384PP_Plus_AQ_BP,A9,water,Axygen 384,I5,1775,
384_source_c1,384PP_Plus_AQ_BP,A9,water,Axygen 384,I7,975,
384_source_c1,384PP_Plus_AQ_BP,A10,water,Axygen 384,I7,800,
384_source_c1,384PP_Plus_AQ_BP,A10,water,Axygen 384,I9,1875,
384_source_c1,384PP_Plus_AQ_BP,A10,water,Axygen 384,I11,1725,
384_source_c1,384PP_Plus_AQ_BP,A10,water,Axygen 384,I13,1750,
384_source_c1,384PP_Plus_AQ_BP,A10,water,Axygen 384,I15,1700,
384_source_c1,384PP_Plus_AQ_BP,A10,water,Axygen 384,I17,1775,
384_source_c1,384PP_Plus_AQ_BP,A10,water,Axygen 384,I19,375,
384_source_c1,384PP_Plus_AQ_BP,A11,water,Axygen 384,I19,1425,
384_source_c1,384PP_Plus_AQ_BP,A11,water,Axygen 384,I21,1775,
384_source_c1,384PP_Plus_AQ_BP,A11,water,Axygen 384,I23,2050,
384_source_c1,384PP_Plus_AQ_BP,A11,water,Axygen 384,K1,1725,
384_source_c1,384PP_Plus_AQ_BP,A11,water,Axygen 384,K3,1850,
384_source_c1,384PP_Plus_AQ_BP,A11,water,Axygen 384,K5,1175,
384_source_c1,384PP_Plus_AQ_BP,A12,water,Axygen 384,K5,625,
384_source_c1,384PP_Plus_AQ_BP,A12,water,Axygen 384,K7,1725,
384_source_c1,384PP_Plus_AQ_BP,A12,water,Axygen 384,K9,1775,
384_source_c1,384PP_Plus_AQ_BP,A12,water,Axygen 384,K11,1725,
384_source_c1,384PP_Plus_AQ_BP,A12,water,Axygen 384,K13,1700,
384_source_c1,384PP_Plus_AQ_BP,A12,water,Axygen 384,K15,1925,
384_source_c1,384PP_Plus_AQ_BP,A12,water,Axygen 384,K17,525,
384_source_c1,384PP_Plus_AQ_BP,A13,water,Axygen 384,K17,1325,
384_source_c1,384PP_Plus_AQ_BP,A13,water,Axygen 384,K19,1850,
384_source_c1,384PP_Plus_AQ_BP,A13,water,Axygen 384,K21,1775,
384_source_c1,384PP_Plus_AQ_BP,A13,water,Axygen 384,K23,1800,
384_source_c1,384PP_Plus_AQ_BP,A13,water,Axygen 384,M1,1425,
384_source_c1,384PP_Plus_AQ_BP,A13,water,Axygen 384,M3,1775,
384_source_c1,384PP_Plus_AQ_BP,A13,water,Axygen 384,M5,50,
384_source_c1,384PP_Plus_AQ_BP,A14,water,Axygen 384,M5,1675,
