Location,Name,Concentration,Length,Units
A3,m162,105.7553957,0,nM
C3,m163,15.03804716,0,nM
E3,m164,14.39268696,0,nM
G3,m165,15.46283204,0,nM
I3,m166,14.35048922,0,nM
K3,m167,15.47599746,0,nM
M3,m168,14.72336683,0,nM
O3,m169,15.36023406,0,nM
B4,puc19,111.4611375,0,nM
B24,water,1,0,x
D24,water,1,0,x
F24,water,1,0,x
H24,water,1,0,x
J24,water,1,0,x
L24,water,1,0,x
N24,water,1,0,x
A5,m162,105.7553957,0,nM
D4,puc19,111.4611375,0,nM
F4,puc19,111.4611375,0,nM
H4,puc19,111.4611375,0,nM
J4,puc19,111.4611375,0,nM
N4,puc19,111.4611375,0,nM
L4,puc19,111.4611375,0,nM
