well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9
H1,puc19,34.49806836,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.795454545,m162,7.954545455
G1,puc19,34.57780632,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.795454545,m163,0.198863636,m162,7.954545455
F1,puc19,34.49606936,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
E1,puc19,34.55803841,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.795454545,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
D1,puc19,34.47274768,m169,0.198863636,m168,0.198863636,m167,0.795454545,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
C1,puc19,34.58291487,m169,0.198863636,m168,0.795454545,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
B1,puc19,34.51072871,m169,0.795454545,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
A1,puc19,54.67354686,m169,0,m168,0,m167,0,m166,0,m165,0,m164,0,m163,0,m162,0
H2,puc19,33.44392821,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.795454545,m163,0.795454545,m162,7.954545455
G2,puc19,33.36219126,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.795454545,m164,0.198863636,m163,0.795454545,m162,7.954545455
F2,puc19,33.42416031,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.795454545,m165,0.198863636,m164,0.198863636,m163,0.795454545,m162,7.954545455
E2,puc19,33.33886957,m169,0.198863636,m168,0.198863636,m167,0.795454545,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.795454545,m162,7.954545455
D2,puc19,33.44903677,m169,0.198863636,m168,0.795454545,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.795454545,m162,7.954545455
C2,puc19,33.3768506,m169,0.795454545,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.795454545,m162,7.954545455
B2,puc19,33.44192921,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.795454545,m164,0.795454545,m163,0.198863636,m162,7.954545455
A2,puc19,19.67176996,m169,0.795454545,m168,0.795454545,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,11.93181818
H3,puc19,33.50389826,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.795454545,m165,0.198863636,m164,0.795454545,m163,0.198863636,m162,7.954545455
G3,puc19,33.41860752,m169,0.198863636,m168,0.198863636,m167,0.795454545,m166,0.198863636,m165,0.198863636,m164,0.795454545,m163,0.198863636,m162,7.954545455
F3,puc19,33.52877472,m169,0.198863636,m168,0.795454545,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.795454545,m163,0.198863636,m162,7.954545455
E3,puc19,33.45658855,m169,0.795454545,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.795454545,m163,0.198863636,m162,7.954545455
D3,puc19,33.4221613,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.795454545,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
C3,puc19,33.33687057,m169,0.198863636,m168,0.198863636,m167,0.795454545,m166,0.198863636,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
B3,puc19,33.44703777,m169,0.198863636,m168,0.795454545,m167,0.198863636,m166,0.198863636,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
A3,puc19,54.67354686,m169,0,m168,0,m167,0,m166,0,m165,0,m164,0,m163,0,m162,0
H4,puc19,33.3748516,m169,0.795454545,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
G4,puc19,33.39883962,m169,0.198863636,m168,0.198863636,m167,0.795454545,m166,0.795454545,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
F4,puc19,33.50900682,m169,0.198863636,m168,0.795454545,m167,0.198863636,m166,0.795454545,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
E4,puc19,33.43682065,m169,0.795454545,m168,0.198863636,m167,0.198863636,m166,0.795454545,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
D4,puc19,33.42371608,m169,0.198863636,m168,0.795454545,m167,0.795454545,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
C4,puc19,33.35152992,m169,0.795454545,m168,0.198863636,m167,0.795454545,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
B4,puc19,33.46169711,m169,0.795454545,m168,0.795454545,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
A4,puc19,19.67176996,m169,0.795454545,m168,0.795454545,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,11.93181818
H5,puc19,32.3080511,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,7.954545455
G5,puc19,32.37002015,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.795454545,m165,0.198863636,m164,0.795454545,m163,0.795454545,m162,7.954545455
