Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,H1,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,G1,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,F1,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,E1,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,D1,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,C1,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,B1,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,H2,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,G2,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,F2,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,E2,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,D2,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,C2,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,B2,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,A2,1250,Actual concentration: 12.02
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,H3,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,G3,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,F3,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,E3,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,D3,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,C3,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,B3,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,H4,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,G4,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,F4,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,E4,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,D4,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,C4,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,B4,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,A4,1250,Actual concentration: 12.02
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,H5,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,G5,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,F5,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,E5,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,D5,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,C5,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,B5,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,H6,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,G6,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,F6,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,E6,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,D6,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,C6,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,B6,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,A6,1250,Actual concentration: 12.02
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,H7,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,G7,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,F7,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,E7,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,D7,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,C7,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A3,m162,Axygen 96,B7,650,Actual concentration: 6.25
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,B7,175,Actual concentration: 1.68
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,H8,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,G8,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,F8,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,E8,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,D8,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,C8,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,B8,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,A8,1250,Actual concentration: 12.02
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,H9,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,G9,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,F9,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,E9,825,Actual concentration: 7.93
384_source_c1,384PP_Plus_AQ_BP,A5,m162,Axygen 96,D9,825,Actual concentration: 7.93
