well,name,concentration,volume,date
A7,m162,104.7592695,39825,27/08/2024
C7,m163,15.30927447,45000,27/08/2024
E7,m164,14.23060715,41500,27/08/2024
G7,m165,15.13191541,42850,27/08/2024
I7,m166,14.25503142,50025,27/08/2024
K7,m167,15.0633042,53325,27/08/2024
M7,m168,14.59307155,55625,27/08/2024
O7,m169,15.54309399,47375,27/08/2024
B6,puc19,89.75313592,21000,27/08/2024
B24,water,1.0,21000,27/08/2024
D24,water,1.0,21000,27/08/2024
F24,water,1.0,61800,27/08/2024
D6,puc19,89.75313592,21000,27/08/2024
F6,puc19,89.75313592,36675,27/08/2024
