Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,H1,500,Actual concentration: 4.75
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,G1,675,Actual concentration: 6.41
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,F1,825,Actual concentration: 7.84
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,E1,1000,Actual concentration: 9.50
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,D1,1175,Actual concentration: 11.16
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,C1,1350,Actual concentration: 12.83
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,B1,1675,Actual concentration: 15.91
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,H2,500,Actual concentration: 4.75
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,G2,675,Actual concentration: 6.41
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,F2,825,Actual concentration: 7.84
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,E2,1000,Actual concentration: 9.50
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,D2,1175,Actual concentration: 11.16
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,C2,1350,Actual concentration: 12.83
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,B2,1675,Actual concentration: 15.91
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,A2,1250,Actual concentration: 11.88
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,H3,500,Actual concentration: 4.75
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,G3,675,Actual concentration: 6.41
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,F3,825,Actual concentration: 7.84
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,E3,1000,Actual concentration: 9.50
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,D3,1175,Actual concentration: 11.16
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,C3,1350,Actual concentration: 12.83
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,B3,1675,Actual concentration: 15.91
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,H4,500,Actual concentration: 4.75
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,G4,675,Actual concentration: 6.41
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,F4,825,Actual concentration: 7.84
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,E4,1000,Actual concentration: 9.50
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,D4,1175,Actual concentration: 11.16
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,C4,1350,Actual concentration: 12.83
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,B4,1675,Actual concentration: 15.91
384_source_c1,384PP_Plus_AQ_BP,A1,m162,Axygen 96,A4,1250,Actual concentration: 11.88
384_source_c1,384PP_Plus_AQ_BP,C1,m163,Axygen 96,H1,75,Actual concentration: 0.11
384_source_c1,384PP_Plus_AQ_BP,C1,m163,Axygen 96,G1,75,Actual concentration: 0.11
384_source_c1,384PP_Plus_AQ_BP,C1,m163,Axygen 96,F1,75,Actual concentration: 0.11
384_source_c1,384PP_Plus_AQ_BP,C1,m163,Axygen 96,E1,75,Actual concentration: 0.11
384_source_c1,384PP_Plus_AQ_BP,C1,m163,Axygen 96,D1,75,Actual concentration: 0.11
384_source_c1,384PP_Plus_AQ_BP,C1,m163,Axygen 96,C1,75,Actual concentration: 0.11
