well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9
H1,puc19,35.632,m169,0.199,m168,0.199,m167,0.199,m166,0.199,m165,0.199,m164,0.199,m163,0.199,m162,7.955
G1,puc19,19.672,m169,0.795,m168,0.795,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,11.932
F1,puc19,29.303,m169,0.795,m168,0,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,7.955
E1,puc19,27.792,m169,0.795,m168,0,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,1.591,m162,7.955
D1,puc19,27.789,m169,0.795,m168,0,m167,0.795,m166,0.795,m165,1.591,m164,0.795,m163,0.795,m162,7.955
C1,puc19,27.898,m169,0.795,m168,0,m167,0.795,m166,0.795,m165,0.795,m164,1.591,m163,0.795,m162,7.955
B1,puc19,30.849,m169,0.795,m168,0,m167,0,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,7.955
A1,puc19,54.674,m169,0,m168,0,m167,0,m166,0,m165,0,m164,0,m163,0,m162,0
H2,puc19,26.386,m169,0.795,m168,0,m167,0.795,m166,0.795,m165,0.795,m164,1.591,m163,1.591,m162,7.955
G2,puc19,26.277,m169,0.795,m168,0,m167,0.795,m166,0.795,m165,1.591,m164,0.795,m163,1.591,m162,7.955
F2,puc19,26.383,m169,0.795,m168,0,m167,0.795,m166,0.795,m165,1.591,m164,1.591,m163,0.795,m162,7.955
E2,puc19,20.399,m169,1.591,m168,0,m167,1.591,m166,1.591,m165,1.591,m164,1.591,m163,1.591,m162,7.955
D2,puc19,31.187,m169,0.795,m168,0.199,m167,0.199,m166,0.199,m165,0.795,m164,0.795,m163,0.795,m162,7.955
C2,puc19,31.272,m169,0.795,m168,0.795,m167,0.199,m166,0.199,m165,0.795,m164,0.795,m163,0.199,m162,7.955
B2,puc19,35.982,m169,0.199,m168,0,m167,0.199,m166,0.199,m165,0.199,m164,0.199,m163,0.199,m162,7.955
A2,puc19,27.905,m169,0.795,m168,0.795,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,7.955
H3,puc19,27.905,m169,0.795,m168,0.795,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,7.955
G3,puc19,28.621,m169,0.795,m168,0.795,m167,0.795,m166,0.398,m165,0.795,m164,0.795,m163,0.795,m162,7.955
F3,puc19,28.979,m169,0.795,m168,0.795,m167,0.795,m166,0.199,m165,0.795,m164,0.795,m163,0.795,m162,7.955
E3,puc19,29.158,m169,0.795,m168,0.795,m167,0.795,m166,0.099,m165,0.795,m164,0.795,m163,0.795,m162,7.955
D3,puc19,29.247,m169,0.795,m168,0.795,m167,0.795,m166,0.05,m165,0.795,m164,0.795,m163,0.795,m162,7.955
C3,puc19,25.035,m169,1.591,m168,0.795,m167,0,m166,0.795,m165,1.591,m164,1.591,m163,0.795,m162,7.955
B3,puc19,24.888,m169,1.591,m168,0,m167,0.795,m166,0.795,m165,1.591,m164,1.591,m163,0.795,m162,7.955
A3,puc19,54.674,m169,0,m168,0,m167,0,m166,0,m165,0,m164,0,m163,0,m162,0
H4,puc19,29.45,m169,0.795,m168,0.795,m167,0,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,7.955
G4,puc19,27.938,m169,0.795,m168,0.795,m167,0,m166,0.795,m165,0.795,m164,0.795,m163,1.591,m162,7.955
F4,puc19,28.045,m169,0.795,m168,0.795,m167,0,m166,0.795,m165,0.795,m164,1.591,m163,0.795,m162,7.955
E4,puc19,27.936,m169,0.795,m168,0.795,m167,0,m166,0.795,m165,1.591,m164,0.795,m163,0.795,m162,7.955
D4,puc19,25.018,m169,0.795,m168,0.795,m167,0,m166,0.795,m165,1.591,m164,1.591,m163,1.591,m162,7.955
C4,puc19,24.872,m169,0.795,m168,0,m167,0.795,m166,0.795,m165,1.591,m164,1.591,m163,1.591,m162,7.955
B4,puc19,30.445,m169,0.199,m168,0.099,m167,0.199,m166,0.099,m165,1.591,m164,1.193,m163,0.795,m162,7.955
A4,puc19,27.905,m169,0.795,m168,0.795,m167,0.795,m166,0.795,m165,0.795,m164,0.795,m163,0.795,m162,7.955
