well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9
H1,puc19,43.51,m169,0.10,m168,0.10,m167,0.10,m166,0.10,m165,0.10,m164,0.10,m163,0.10,m162,4.77
G1,puc19,40.21,m169,0.10,m168,0.10,m167,0.10,m166,0.10,m165,0.10,m164,0.10,m163,0.10,m162,6.36
F1,puc19,36.92,m169,0.10,m168,0.10,m167,0.10,m166,0.10,m165,0.10,m164,0.10,m163,0.10,m162,7.95
E1,puc19,33.63,m169,0.10,m168,0.10,m167,0.10,m166,0.10,m165,0.10,m164,0.10,m163,0.10,m162,9.55
D1,puc19,30.33,m169,0.10,m168,0.10,m167,0.10,m166,0.10,m165,0.10,m164,0.10,m163,0.10,m162,11.14
C1,puc19,27.04,m169,0.10,m168,0.10,m167,0.10,m166,0.10,m165,0.10,m164,0.10,m163,0.10,m162,12.73
B1,puc19,20.45,m169,0.10,m168,0.10,m167,0.10,m166,0.10,m165,0.10,m164,0.10,m163,0.10,m162,15.91
A1,puc19,54.67,m169,0.00,m168,0.00,m167,0.00,m166,0.00,m165,0.00,m164,0.00,m163,0.00,m162,0.00
H2,puc19,42.22,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,4.77
G2,puc19,38.93,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,6.36
F2,puc19,35.63,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,7.95
E2,puc19,32.34,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,9.55
D2,puc19,29.05,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,11.14
C2,puc19,25.75,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,12.73
B2,puc19,19.17,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,15.91
A2,puc19,19.67,m169,0.80,m168,0.80,m167,0.80,m166,0.80,m165,0.80,m164,0.80,m163,0.80,m162,11.93
H3,puc19,39.64,m169,0.40,m168,0.40,m167,0.40,m166,0.40,m165,0.40,m164,0.40,m163,0.40,m162,4.77
G3,puc19,36.35,m169,0.40,m168,0.40,m167,0.40,m166,0.40,m165,0.40,m164,0.40,m163,0.40,m162,6.36
F3,puc19,33.06,m169,0.40,m168,0.40,m167,0.40,m166,0.40,m165,0.40,m164,0.40,m163,0.40,m162,7.95
E3,puc19,29.76,m169,0.40,m168,0.40,m167,0.40,m166,0.40,m165,0.40,m164,0.40,m163,0.40,m162,9.55
D3,puc19,26.47,m169,0.40,m168,0.40,m167,0.40,m166,0.40,m165,0.40,m164,0.40,m163,0.40,m162,11.14
C3,puc19,23.18,m169,0.40,m168,0.40,m167,0.40,m166,0.40,m165,0.40,m164,0.40,m163,0.40,m162,12.73
B3,puc19,16.59,m169,0.40,m168,0.40,m167,0.40,m166,0.40,m165,0.40,m164,0.40,m163,0.40,m162,15.91
A3,puc19,54.67,m169,0.00,m168,0.00,m167,0.00,m166,0.00,m165,0.00,m164,0.00,m163,0.00,m162,0.00
H4,puc19,34.49,m169,0.80,m168,0.80,m167,0.80,m166,0.80,m165,0.80,m164,0.80,m163,0.80,m162,4.77
G4,puc19,31.20,m169,0.80,m168,0.80,m167,0.80,m166,0.80,m165,0.80,m164,0.80,m163,0.80,m162,6.36
F4,puc19,27.90,m169,0.80,m168,0.80,m167,0.80,m166,0.80,m165,0.80,m164,0.80,m163,0.80,m162,7.95
E4,puc19,24.61,m169,0.80,m168,0.80,m167,0.80,m166,0.80,m165,0.80,m164,0.80,m163,0.80,m162,9.55
D4,puc19,21.32,m169,0.80,m168,0.80,m167,0.80,m166,0.80,m165,0.80,m164,0.80,m163,0.80,m162,11.14
C4,puc19,18.03,m169,0.80,m168,0.80,m167,0.80,m166,0.80,m165,0.80,m164,0.80,m163,0.80,m162,12.73
B4,puc19,11.44,m169,0.80,m168,0.80,m167,0.80,m166,0.80,m165,0.80,m164,0.80,m163,0.80,m162,15.91
A4,puc19,19.67,m169,0.80,m168,0.80,m167,0.80,m166,0.80,m165,0.80,m164,0.80,m163,0.80,m162,11.93
H5,puc19,26.27,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,0.80,m162,11.93
G5,puc19,26.34,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,0.80,m163,0.20,m162,11.93
F5,puc19,26.26,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,0.80,m164,0.20,m163,0.20,m162,11.93
E5,puc19,26.33,m169,0.20,m168,0.20,m167,0.20,m166,0.80,m165,0.20,m164,0.20,m163,0.20,m162,11.93
D5,puc19,26.24,m169,0.20,m168,0.20,m167,0.80,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,11.93
C5,puc19,26.35,m169,0.20,m168,0.80,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,11.93
B5,puc19,26.28,m169,0.80,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,11.93
