well,name,concentration,volume,date
A1,m162,107.08,21000,06/08/2024
C1,m163,15.07,29475,06/08/2024
E1,m164,16.21,32200,06/08/2024
G1,m165,15.04,29150,06/08/2024
I1,m166,15.91,30800,06/08/2024
K1,m167,14.74,28650,06/08/2024
M1,m168,16.29,32200,06/08/2024
O1,m169,15.24,29475,06/08/2024
B2,puc19,116.22,21000,06/08/2024
B22,water,1.0,21000,06/08/2024
B24,water,1.0,21000,06/08/2024
D22,water,1.0,21000,06/08/2024
D24,water,1.0,21000,06/08/2024
F22,water,1.0,21000,06/08/2024
F24,water,1.0,21000,06/08/2024
H22,water,1.0,21000,06/08/2024
H24,water,1.0,21000,06/08/2024
J22,water,1.0,21000,06/08/2024
J24,water,1.0,21000,06/08/2024
L22,water,1.0,35900,06/08/2024
A3,m162,107.08,21000,06/08/2024
A5,m162,107.08,50500,06/08/2024
B4,puc19,116.22,21000,06/08/2024
D2,puc19,116.22,21000,06/08/2024
D4,puc19,116.22,21000,06/08/2024
F2,puc19,116.22,21000,06/08/2024
F4,puc19,116.22,43650,06/08/2024
