Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
384_source_c1,384PP_AQ_BP,A1,m162,96,H1,500,Actual concentration: 4.87
384_source_c1,384PP_AQ_BP,A1,m162,96,G1,650,Actual concentration: 6.33
384_source_c1,384PP_AQ_BP,A1,m162,96,F1,825,Actual concentration: 8.03
384_source_c1,384PP_AQ_BP,A1,m162,96,E1,975,Actual concentration: 9.49
384_source_c1,384PP_AQ_BP,A1,m162,96,D1,1150,Actual concentration: 11.19
384_source_c1,384PP_AQ_BP,A1,m162,96,C1,1300,Actual concentration: 12.65
384_source_c1,384PP_AQ_BP,A1,m162,96,B1,1625,Actual concentration: 15.82
384_source_c1,384PP_AQ_BP,A1,m162,96,H2,500,Actual concentration: 4.87
384_source_c1,384PP_AQ_BP,A1,m162,96,G2,650,Actual concentration: 6.33
384_source_c1,384PP_AQ_BP,A1,m162,96,F2,825,Actual concentration: 8.03
384_source_c1,384PP_AQ_BP,A1,m162,96,E2,975,Actual concentration: 9.49
384_source_c1,384PP_AQ_BP,A1,m162,96,D2,1150,Actual concentration: 11.19
384_source_c1,384PP_AQ_BP,A1,m162,96,C2,1300,Actual concentration: 12.65
384_source_c1,384PP_AQ_BP,A1,m162,96,B2,1625,Actual concentration: 15.82
384_source_c1,384PP_AQ_BP,A1,m162,96,A2,1225,Actual concentration: 11.92
384_source_c1,384PP_AQ_BP,A1,m162,96,H3,500,Actual concentration: 4.87
384_source_c1,384PP_AQ_BP,A1,m162,96,G3,650,Actual concentration: 6.33
384_source_c1,384PP_AQ_BP,A1,m162,96,F3,825,Actual concentration: 8.03
384_source_c1,384PP_AQ_BP,A1,m162,96,E3,975,Actual concentration: 9.49
384_source_c1,384PP_AQ_BP,A1,m162,96,D3,1150,Actual concentration: 11.19
384_source_c1,384PP_AQ_BP,A1,m162,96,C3,1300,Actual concentration: 12.65
