,,,,,,,,,1x_F,1x_G,1x_J,1x_K,1x_N,1x_W,base_pos_t1_g1,neg_t1_g1,1x_FG,1x_FJ,1x_FK,1x_FN,1x_FW,1x_GJ,1x_GK,pos_t1_g1,1x_GN,1x_GW,1x_JK,1x_JN,1x_JW,1x_KN,base_pos_t2_g1,neg_t2_g1,1x_KW,1x_NW,1x_FGJ,1x_FGK,1x_FGN,1x_FGW,1x_FJK,pos_t2_g1,1x_FJN,1x_FJW,1x_FKN,1x_FKW,1x_FNW,1x_GJK,base_pos_t3_g2,neg_t3_g2,1x_GJN,1x_GJW,1x_GKN,1x_GKW,1x_GNW,1x_JKN,1x_JKW,pos_t3_g2,1x_JNW,1x_KNW,hail_mary_025N,hail_mary_05N,hail_mary_1N,pos_2A_base,base_pos_t4_g2,neg_t4_g2,1x_F_2A,1x_G_2A,1x_J_2A,1x_K_2A,1x_N_2A,1x_W_2A,pos_2A_1xCh,pos_t4_g2,del_F,del_G,del_J,del_K,del_N,del_W,base_pos_t5_g3,neg_t5_g3,gvpA_10_chaps_2,gvpA_15_chaps_2,gvpA_18_chaps_2,gvpA_10_chaps_3,gvpA_15_chaps_1,gvpA_20_chaps_1,gvpA_10_chaps_4_025K,pos_t5_g3,0125x_F,0125x_G,0125x_J,0125x_K,0125x_N,0125x_W,base_pos_t6_g3,neg_t6_g3,2x_F,2x_G,2x_J,2x_K,2x_N,2x_W,hail_mary_5A,pos_t6_g3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do not touch,Plasmid,Con [ng/ul],Conc (nM),Size (bp),mw (ng/pmol),,,plamsid (ng),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,repl,total DNA combo final volume w/water (uL),plasmid concentration nM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,,,,,,,,
enter your value,,,,,,,what is 1x in fmol,fmols each 1x,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4,15,multiplier,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,,,,,,,
let the formula do it's job,,,,,,,,total ng (6-well),3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2640.58,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,,ul/6-well rxn,85.46,85.63,85.66,85.58,85.45,85.48,86.58,114.55,84.51,84.54,84.46,84.33,84.36,84.71,84.63,80.36,84.49,84.53,84.66,84.53,84.56,84.45,86.58,114.55,84.48,84.35,83.59,83.51,83.37,83.41,83.54,80.36,83.41,83.44,83.33,83.36,83.23,83.71,86.58,114.55,83.58,83.61,83.49,83.53,83.39,83.53,83.56,80.36,83.43,83.35,83.27,82.89,82.13,93.57,86.58,114.55,106.18,106.35,106.38,106.3,106.17,106.2,101.07,80.36,81.85,81.63,81.58,81.69,81.86,81.82,86.58,114.55,72.06,59.11,51.34,63.76,67.41,54.46,60.46,80.36,86.77,86.74,86.73,86.75,86.77,86.76,86.58,114.55,83.97,84.35,84.44,84.25,83.94,84.01,95.46,80.36,,volume (nL),total nmol transferred,total volume of stock transferred,wells needed,,,,~38uL per well
A,NN400_GvpA,556.4,124.781,6860,4459,,plasmid ng in chart,NN400_GvpA,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,0,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,0,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,0,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,222.95,1114.75,0,222.95,222.95,222.95,222.95,222.95,222.95,222.95,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,0,1114.75,1672.125,2006.55,1114.75,1672.125,2229.5,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,0,1114.75,1114.75,1114.75,1114.75,1114.75,1114.75,557.375,1114.75,,,NN400_GvpA,5.833,5.833,5.833,5.833,5.833,5.833,5.833,0,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,0,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,0,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,1.167,5.833,0,1.167,1.167,1.167,1.167,1.167,1.167,1.167,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,0,5.833,8.75,10.5,5.833,8.75,11.667,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,5.833,0,5.833,5.833,5.833,5.833,5.833,5.833,2.917,5.833,,NN400_GvpA,0.008,60.235,6.024,7,,,266
F,NN458_GvpF,52.2,15.768,5093,3310.45,,,NN458_GvpF,82.761,20.69,20.69,20.69,20.69,20.69,20.69,0,82.761,82.761,82.761,82.761,82.761,20.69,20.69,82.761,20.69,20.69,20.69,20.69,20.69,20.69,20.69,0,20.69,20.69,82.761,82.761,82.761,82.761,82.761,82.761,82.761,82.761,82.761,82.761,82.761,20.69,20.69,0,20.69,20.69,20.69,20.69,20.69,20.69,20.69,82.761,20.69,20.69,82.761,82.761,82.761,20.69,20.69,0,82.761,20.69,20.69,20.69,20.69,20.69,82.761,82.761,0,82.761,82.761,82.761,82.761,82.761,20.69,0,165.523,165.523,165.523,248.284,82.761,82.761,331.045,82.761,10.345,20.69,20.69,20.69,20.69,20.69,20.69,0,165.523,20.69,20.69,20.69,20.69,20.69,82.761,82.761,,,NN458_GvpF,0.583,0.146,0.146,0.146,0.146,0.146,0.146,0,0.583,0.583,0.583,0.583,0.583,0.146,0.146,0.583,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0,0.146,0.146,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.146,0.146,0,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.583,0.146,0.146,0.583,0.583,0.583,0.146,0.146,0,0.583,0.146,0.146,0.146,0.146,0.146,0.583,0.583,0,0.583,0.583,0.583,0.583,0.583,0.146,0,1.167,1.167,1.167,1.75,0.583,0.583,2.333,0.583,0.073,0.146,0.146,0.146,0.146,0.146,0.146,0,1.167,0.146,0.146,0.146,0.146,0.146,0.583,0.583,,NN458_GvpF,0.001,34.335,3.434,4,,,152
G,NN410_GvpG,40.5,13.159,4735,3077.75,,,NN410_GvpG,19.236,76.944,19.236,19.236,19.236,19.236,19.236,0,76.944,19.236,19.236,19.236,19.236,76.944,76.944,76.944,76.944,76.944,19.236,19.236,19.236,19.236,19.236,0,19.236,19.236,76.944,76.944,76.944,76.944,19.236,76.944,19.236,19.236,19.236,19.236,19.236,76.944,19.236,0,76.944,76.944,76.944,76.944,76.944,19.236,19.236,76.944,19.236,19.236,76.944,76.944,76.944,19.236,19.236,0,19.236,76.944,19.236,19.236,19.236,19.236,76.944,76.944,76.944,0,76.944,76.944,76.944,76.944,19.236,0,153.888,153.888,153.888,230.831,76.944,76.944,307.775,76.944,19.236,9.618,19.236,19.236,19.236,19.236,19.236,0,19.236,153.888,19.236,19.236,19.236,19.236,76.944,76.944,,,NN410_GvpG,0.146,0.583,0.146,0.146,0.146,0.146,0.146,0,0.583,0.146,0.146,0.146,0.146,0.583,0.583,0.583,0.583,0.583,0.146,0.146,0.146,0.146,0.146,0,0.146,0.146,0.583,0.583,0.583,0.583,0.146,0.583,0.146,0.146,0.146,0.146,0.146,0.583,0.146,0,0.583,0.583,0.583,0.583,0.583,0.146,0.146,0.583,0.146,0.146,0.583,0.583,0.583,0.146,0.146,0,0.146,0.583,0.146,0.146,0.146,0.146,0.583,0.583,0.583,0,0.583,0.583,0.583,0.583,0.146,0,1.167,1.167,1.167,1.75,0.583,0.583,2.333,0.583,0.146,0.073,0.146,0.146,0.146,0.146,0.146,0,0.146,1.167,0.146,0.146,0.146,0.146,0.583,0.583,,NN410_GvpG,0.001,41.144,4.114,5,,,190
J,NN457_GvpJ,49.1,16.21,4660,3029,,,NN457_GvpJ,18.931,18.931,75.725,18.931,18.931,18.931,18.931,0,18.931,75.725,18.931,18.931,18.931,75.725,18.931,75.725,18.931,18.931,75.725,75.725,75.725,18.931,18.931,0,18.931,18.931,75.725,18.931,18.931,18.931,75.725,75.725,75.725,75.725,18.931,18.931,18.931,75.725,18.931,0,75.725,75.725,18.931,18.931,18.931,75.725,75.725,75.725,75.725,18.931,37.863,37.863,37.863,18.931,18.931,0,18.931,18.931,75.725,18.931,18.931,18.931,75.725,75.725,75.725,75.725,0,75.725,75.725,75.725,18.931,0,151.45,151.45,151.45,227.175,75.725,75.725,302.9,75.725,18.931,18.931,9.466,18.931,18.931,18.931,18.931,0,18.931,18.931,151.45,18.931,18.931,18.931,37.863,75.725,,,NN457_GvpJ,0.146,0.146,0.583,0.146,0.146,0.146,0.146,0,0.146,0.583,0.146,0.146,0.146,0.583,0.146,0.583,0.146,0.146,0.583,0.583,0.583,0.146,0.146,0,0.146,0.146,0.583,0.146,0.146,0.146,0.583,0.583,0.583,0.583,0.146,0.146,0.146,0.583,0.146,0,0.583,0.583,0.146,0.146,0.146,0.583,0.583,0.583,0.583,0.146,0.292,0.292,0.292,0.146,0.146,0,0.146,0.146,0.583,0.146,0.146,0.146,0.583,0.583,0.583,0.583,0,0.583,0.583,0.583,0.146,0,1.167,1.167,1.167,1.75,0.583,0.583,2.333,0.583,0.146,0.146,0.073,0.146,0.146,0.146,0.146,0,0.146,0.146,1.167,0.146,0.146,0.146,0.292,0.583,,NN457_GvpJ,0.001,32.32,3.232,4,,,152
K,wt_GvpK,48.9,15.56,4835,3142.75,,,wt_GvpK,19.642,19.642,19.642,78.569,19.642,19.642,19.642,0,19.642,19.642,78.569,19.642,19.642,19.642,78.569,78.569,19.642,19.642,78.569,19.642,19.642,78.569,19.642,0,78.569,19.642,19.642,78.569,19.642,19.642,78.569,78.569,19.642,19.642,78.569,78.569,19.642,78.569,19.642,0,19.642,19.642,78.569,78.569,19.642,78.569,78.569,78.569,19.642,78.569,9.821,9.821,9.821,19.642,19.642,0,19.642,19.642,19.642,78.569,19.642,19.642,78.569,78.569,78.569,78.569,78.569,0,78.569,78.569,19.642,0,157.138,157.138,157.138,235.706,78.569,78.569,19.642,78.569,19.642,19.642,19.642,9.821,19.642,19.642,19.642,0,19.642,19.642,19.642,157.138,19.642,19.642,9.821,78.569,,,wt_GvpK,0.146,0.146,0.146,0.583,0.146,0.146,0.146,0,0.146,0.146,0.583,0.146,0.146,0.146,0.583,0.583,0.146,0.146,0.583,0.146,0.146,0.583,0.146,0,0.583,0.146,0.146,0.583,0.146,0.146,0.583,0.583,0.146,0.146,0.583,0.583,0.146,0.583,0.146,0,0.146,0.146,0.583,0.583,0.146,0.583,0.583,0.583,0.146,0.583,0.073,0.073,0.073,0.146,0.146,0,0.146,0.146,0.146,0.583,0.146,0.146,0.583,0.583,0.583,0.583,0.583,0,0.583,0.583,0.146,0,1.167,1.167,1.167,1.75,0.583,0.583,0.146,0.583,0.146,0.146,0.146,0.073,0.146,0.146,0.146,0,0.146,0.146,0.146,1.167,0.146,0.146,0.073,0.583,,wt_GvpK,0,30.719,3.072,4,,,152
N,NN449_GvpN,39.8,11.966,5117,3326.05,,,NN449_GvpN,20.788,20.788,20.788,20.788,83.151,20.788,20.788,0,20.788,20.788,20.788,83.151,20.788,20.788,20.788,83.151,83.151,20.788,20.788,83.151,20.788,83.151,20.788,0,20.788,83.151,20.788,20.788,83.151,20.788,20.788,83.151,83.151,20.788,83.151,20.788,83.151,20.788,20.788,0,83.151,20.788,83.151,20.788,83.151,83.151,20.788,83.151,83.151,83.151,20.788,41.576,83.151,20.788,20.788,0,20.788,20.788,20.788,20.788,83.151,20.788,83.151,83.151,83.151,83.151,83.151,83.151,0,83.151,20.788,0,166.303,166.303,166.303,249.454,83.151,83.151,332.605,83.151,20.788,20.788,20.788,20.788,10.394,20.788,20.788,0,20.788,20.788,20.788,20.788,166.303,20.788,62.363,83.151,,,NN449_GvpN,0.146,0.146,0.146,0.146,0.583,0.146,0.146,0,0.146,0.146,0.146,0.583,0.146,0.146,0.146,0.583,0.583,0.146,0.146,0.583,0.146,0.583,0.146,0,0.146,0.583,0.146,0.146,0.583,0.146,0.146,0.583,0.583,0.146,0.583,0.146,0.583,0.146,0.146,0,0.583,0.146,0.583,0.146,0.583,0.583,0.146,0.583,0.583,0.583,0.146,0.292,0.583,0.146,0.146,0,0.146,0.146,0.146,0.146,0.583,0.146,0.583,0.583,0.583,0.583,0.583,0.583,0,0.583,0.146,0,1.167,1.167,1.167,1.75,0.583,0.583,2.333,0.583,0.146,0.146,0.146,0.146,0.073,0.146,0.146,0,0.146,0.146,0.146,0.146,1.167,0.146,0.438,0.583,,NN449_GvpN,0.001,44.148,4.415,5,,,190
W,wt_GvpW,53.8,16.387,5051,3283.15,,,wt_GvpW,20.52,20.52,20.52,20.52,20.52,82.079,20.52,0,20.52,20.52,20.52,20.52,82.079,20.52,20.52,82.079,20.52,82.079,20.52,20.52,82.079,20.52,20.52,0,82.079,82.079,20.52,20.52,20.52,82.079,20.52,82.079,20.52,82.079,20.52,82.079,82.079,20.52,20.52,0,20.52,82.079,20.52,82.079,82.079,20.52,82.079,82.079,82.079,82.079,82.079,82.079,82.079,20.52,20.52,0,20.52,20.52,20.52,20.52,20.52,82.079,82.079,82.079,82.079,82.079,82.079,82.079,82.079,0,20.52,0,164.158,164.158,164.158,246.236,82.079,82.079,328.315,82.079,20.52,20.52,20.52,20.52,20.52,10.26,20.52,0,20.52,20.52,20.52,20.52,20.52,164.158,82.079,82.079,,,wt_GvpW,0.146,0.146,0.146,0.146,0.146,0.583,0.146,0,0.146,0.146,0.146,0.146,0.583,0.146,0.146,0.583,0.146,0.583,0.146,0.146,0.583,0.146,0.146,0,0.583,0.583,0.146,0.146,0.146,0.583,0.146,0.583,0.146,0.583,0.146,0.583,0.583,0.146,0.146,0,0.146,0.583,0.146,0.583,0.583,0.146,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.146,0.146,0,0.146,0.146,0.146,0.146,0.146,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0,0.146,0,1.167,1.167,1.167,1.75,0.583,0.583,2.333,0.583,0.146,0.146,0.146,0.146,0.146,0.073,0.146,0,0.146,0.146,0.146,0.146,0.146,1.167,0.583,0.583,,wt_GvpW,0.001,33.039,3.304,4,,,152
