well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8
H1,puc19,22.765,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.583,NN400_GvpA,5.833
G1,puc19,22.823,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.583,NN458_GvpF,0.146,NN400_GvpA,5.833
F1,puc19,22.835,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.583,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
E1,puc19,22.807,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.583,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
D1,puc19,22.761,wt_GvpW,0.146,NN449_GvpN,0.583,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
C1,puc19,22.772,wt_GvpW,0.583,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
B1,puc19,23.595,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
A1,puc19,40.094,wt_GvpW,0,NN449_GvpN,0,wt_GvpK,0,NN457_GvpJ,0,NN410_GvpG,0,NN458_GvpF,0,NN400_GvpA,0
H2,puc19,21.994,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.583,NN458_GvpF,0.583,NN400_GvpA,5.833
G2,puc19,22.006,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.583,NN410_GvpG,0.146,NN458_GvpF,0.583,NN400_GvpA,5.833
