Location,Name,Concentration,Length,Units
C1,NN400_GvpA,124.781,0,nM
A3,NN458_GvpF,15.768,0,nM
A5,NN410_GvpG,13.159,0,nM
A7,NN457_GvpJ,16.21,0,nM
A9,wt_GvpK,15.56,0,nM
A11,NN449_GvpN,11.966,0,nM
A13,wt_GvpW,16.387,0,nM
A15,puc19,163.469,0,nM
A24,water,1,0,x
E1,NN400_GvpA,124.781,0,nM
G1,NN400_GvpA,124.781,0,nM
I1,NN400_GvpA,124.781,0,nM
K1,NN400_GvpA,124.781,0,nM
M1,NN400_GvpA,124.781,0,nM
O1,NN400_GvpA,124.781,0,nM
C3,NN458_GvpF,15.768,0,nM
E3,NN458_GvpF,15.768,0,nM
G3,NN458_GvpF,15.768,0,nM
C5,NN410_GvpG,13.159,0,nM
E5,NN410_GvpG,13.159,0,nM
G5,NN410_GvpG,13.159,0,nM
I5,NN410_GvpG,13.159,0,nM
C7,NN457_GvpJ,16.21,0,nM
E7,NN457_GvpJ,16.21,0,nM
G7,NN457_GvpJ,16.21,0,nM
C9,wt_GvpK,15.56,0,nM
E9,wt_GvpK,15.56,0,nM
G9,wt_GvpK,15.56,0,nM
C11,NN449_GvpN,11.966,0,nM
E11,NN449_GvpN,11.966,0,nM
G11,NN449_GvpN,11.966,0,nM
I11,NN449_GvpN,11.966,0,nM
C13,wt_GvpW,16.387,0,nM
E13,wt_GvpW,16.387,0,nM
G13,wt_GvpW,16.387,0,nM
B15,puc19,163.469,0,nM
C15,puc19,163.469,0,nM
D15,puc19,163.469,0,nM
E15,puc19,163.469,0,nM
F15,puc19,163.469,0,nM
G15,puc19,163.469,0,nM
H15,puc19,163.469,0,nM
I15,puc19,163.469,0,nM
J15,puc19,163.469,0,nM
K15,puc19,163.469,0,nM
L15,puc19,163.469,0,nM
M15,puc19,163.469,0,nM
N15,puc19,163.469,0,nM
O15,puc19,163.469,0,nM
P15,puc19,163.469,0,nM
A17,puc19,163.469,0,nM
B17,puc19,163.469,0,nM
C17,puc19,163.469,0,nM
D17,puc19,163.469,0,nM
E17,puc19,163.469,0,nM
A1,water,1,0,x
A2,water,1,0,x
A4,water,1,0,x
A6,water,1,0,x
A8,water,1,0,x
A10,water,1,0,x
A12,water,1,0,x
A14,water,1,0,x
A16,water,1,0,x
A18,water,1,0,x
A19,water,1,0,x
A20,water,1,0,x
A21,water,1,0,x
A22,water,1,0,x
A23,water,1,0,x
B1,water,1,0,x
B2,water,1,0,x
B3,water,1,0,x
B4,water,1,0,x
B5,water,1,0,x
B6,water,1,0,x
B7,water,1,0,x
B8,water,1,0,x
B9,water,1,0,x
B10,water,1,0,x
B11,water,1,0,x
B12,water,1,0,x
B13,water,1,0,x
B14,water,1,0,x
B16,water,1,0,x
B18,water,1,0,x
B19,water,1,0,x
B20,water,1,0,x
B21,water,1,0,x
B22,water,1,0,x
B23,water,1,0,x
B24,water,1,0,x
C2,water,1,0,x
C4,water,1,0,x
C6,water,1,0,x
C8,water,1,0,x
C10,water,1,0,x
C12,water,1,0,x
C14,water,1,0,x
C16,water,1,0,x
C18,water,1,0,x
C19,water,1,0,x
C20,water,1,0,x
C21,water,1,0,x
C22,water,1,0,x
C23,water,1,0,x
C24,water,1,0,x
D1,water,1,0,x
D2,water,1,0,x
D3,water,1,0,x
D4,water,1,0,x
D5,water,1,0,x
D6,water,1,0,x
D7,water,1,0,x
D8,water,1,0,x
D9,water,1,0,x
D10,water,1,0,x
D11,water,1,0,x
D12,water,1,0,x
D13,water,1,0,x
D14,water,1,0,x
D16,water,1,0,x
D18,water,1,0,x
D19,water,1,0,x
D20,water,1,0,x
D21,water,1,0,x
D22,water,1,0,x
D23,water,1,0,x
D24,water,1,0,x
E2,water,1,0,x
E4,water,1,0,x
E6,water,1,0,x
E8,water,1,0,x
E10,water,1,0,x
E12,water,1,0,x
E14,water,1,0,x
E16,water,1,0,x
E18,water,1,0,x
E19,water,1,0,x
E20,water,1,0,x
E21,water,1,0,x
E22,water,1,0,x
E23,water,1,0,x
E24,water,1,0,x
F1,water,1,0,x
F2,water,1,0,x
F3,water,1,0,x
F4,water,1,0,x
F5,water,1,0,x
