Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,H1,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,G1,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,F1,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,E1,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,D1,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,C1,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,B1,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,H2,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,G2,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,F2,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,E2,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,D2,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,C2,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,B2,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,C1,NN400_GvpA,Axygen 96,A2,200,Actual concentration: 1.66
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,A2,500,Actual concentration: 4.16
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,H3,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,G3,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,F3,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,E3,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,D3,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,C3,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,B3,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,H4,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,G4,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,F4,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,E4,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,D4,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,C4,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,E1,NN400_GvpA,Axygen 96,B4,400,Actual concentration: 3.33
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,B4,300,Actual concentration: 2.50
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,A4,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,H5,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,G5,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,F5,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,E5,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,D5,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,C5,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,B5,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,H6,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,G6,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,F6,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,E6,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,D6,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,G1,NN400_GvpA,Axygen 96,C6,600,Actual concentration: 4.99
384_source_c1,384PP_AQ_BP,I1,NN400_GvpA,Axygen 96,C6,100,Actual concentration: 0.83
384_source_c1,384PP_AQ_BP,I1,NN400_GvpA,Axygen 96,B6,700,Actual concentration: 5.82
384_source_c1,384PP_AQ_BP,I1,NN400_GvpA,Axygen 96,A6,700,Actual concentration: 5.82
